query_id,query,category,system,rank,doc_id,score,job_title,company,job_location,job_level,job_type,job_skills,latency_ms
Q01,junior data analyst with SQL Tableau and Python,data,hnsw_m32_efc200_efs128,1,JOB_0423481,0.9020992517471313,Jr. Data Analyst,SynergisticIT,"Oklahoma City, OK",Mid senior,Onsite,"Python, Software Development Life Cycle, Linear Algebra, Statistics, Mathematics, Data Visualization, NLP, Scala, Django, Deep Learning, Machine Learning, UI, Access Control, Data Science, Algorithms, Data Analysis, Teamwork, Problem Solving, Communication Skills, Technical Writing, Bachelor's or Master's in Computer Engineering Computer Science Mathematics Electrical Engineering Information Systems or IT, Mathematics or Statistics background",0.31135699964579544
Q01,junior data analyst with SQL Tableau and Python,data,hnsw_m32_efc200_efs128,2,JOB_0274181,0.9006987810134888,"Data Analyst-SQL, Python, Visualization tool",Zortech Solutions,"Mountain View, CA",Associate,Onsite,"SQL, Python, Tableau, Qlik sense, Power BI, R, Scala, Shell scripting, Alteryx, Google suite, Master’s degree in mathematics statistics engineering, Data visualization, Data analytics, Datadriven business case, ROI, Research strategy, Datadriven insights",0.31135699964579544
Q01,junior data analyst with SQL Tableau and Python,data,hnsw_m32_efc200_efs128,3,JOB_0334377,0.8988746404647827,Data Analyst I,Mathys+Potestio / The Creative Party®,"Culver City, CA",Mid senior,Onsite,"Data Analysis, Data Cleaning, Data Visualization, Tableau, SQL, Python, Data Quality Management, Data Maintenance, Dashboarding, Reporting, Data Coordination, Data Handling, Data Manipulation, Programming, Data Querying, Bachelor's Degree, Work Experience, Attention to Detail, ProblemSolving",0.31135699964579544
Q01,junior data analyst with SQL Tableau and Python,data,hnsw_m32_efc200_efs128,4,JOB_0250432,0.898393988609314,Senior Data Analyst,Compunnel Inc.,"San Antonio, TX",Mid senior,Onsite,"Machine Learning, Python, SQL, SAS, Business Stakeholder Management, Data Analysis, Presentation Skills, Report Generation, Dashboard Creation, DataDriven Insights, Problem Identification, Data Supplementation, Database Design, Data Modelling, BI Tools (SAS Tableau Cognos Spotfire Alteryx Knime), Statistical Modeling, Productivity Tools (MS Word PowerPoint Excel), Bachelors Degree",0.31135699964579544
Q01,junior data analyst with SQL Tableau and Python,data,hnsw_m32_efc200_efs128,5,JOB_0071300,0.8947607278823853,Data Analyst (Entry/Junior Level),SynergisticIT,"Bellevue, WA",Mid senior,Onsite,"Data Science, Python, Linear Algebra, Communication, Statistics, Mathematics, Deep Learning, Data Visualization, NLP, Scala, Django, Algorithm Development, Software Analysis, Big Data Analysis, Webbased UI Integration, Commercial Indexing Products, Access Control Mechanisms, Bachelor's or Master's Degree in Computer Engineering Computer Science Mathematics Electrical Engineering Information Systems or IT, Mathematics or Statistics Background",0.31135699964579544
Q01,junior data analyst with SQL Tableau and Python,data,hnsw_m32_efc200_efs128,6,JOB_0410378,0.8933846950531006,Junior Analytics Engineer,Robert Walters,"Sydney, New South Wales, Australia",Mid senior,Onsite,"Data Analytics, Data Engineering, Data Warehousing, SQL, AWS, DBT, RedShift, Tableau, AdHoc Reporting, Data Visualization, Data Modeling, Data Pipelines, Data Collection, Data Storage, Data Refinement",0.31135699964579544
Q01,junior data analyst with SQL Tableau and Python,data,hnsw_m32_efc200_efs128,7,JOB_0113400,0.8923249244689941,BI/Data Analyst,TEK NINJAS,"Denver, CO",Mid senior,Onsite,"Data Analysis, SQL, Data Visualization, Tableau, AWS (S3/ EMR/Lambda), Hadoop, Spark, Data Science, Python, Bash scripting, Linux, Git, Project Management, Data Engineering, Business Requirements Gathering, ETL (Extract Transform Load)",0.31135699964579544
Q01,junior data analyst with SQL Tableau and Python,data,hnsw_m32_efc200_efs128,8,JOB_0394582,0.8908085823059082,"Senior, Data Analyst",Walmart,"Bentonville, AR",Mid senior,Onsite,"Dataiku, Tableau (Prep), SQL, Cloud Service, Power BI, Python, GCP, Tableau, Exploratory Data Analysis, Data Governance, Data Quality Management, Data Visualization, Statistical Analyses, Project Management, Business Intelligence, Six Sigma Certification, Bachelor's degree in Supply Chain Data Science Computer Science Analytics Statistics, Master's degree in Supply Chain Data Science Computer Science Analytics Statistics",0.31135699964579544
Q01,junior data analyst with SQL Tableau and Python,data,hnsw_m32_efc200_efs128,9,JOB_0117133,0.8896386623382568,Senior Data Scientist,TechDoQuest,"Seattle, WA",Mid senior,Onsite,"Python, R, AWS, Tableau, Azure, Visualization tools, Data science analysis, Data analytics, Statistical analysis, Machine learning, Data pipelines, Proficient in Java, Proficient in Scala, Proficient in large scale ML/DL platforms, Proficient in processing tech stack, CTR/CVR modeling, Generative AI, EMR, S3, Spark, Databricks, Snowflake, Automated deployment, Docker",0.31135699964579544
Q01,junior data analyst with SQL Tableau and Python,data,hnsw_m32_efc200_efs128,10,JOB_0361816,0.8896260261535645,SR. Data Analyst (SQL and Tableau),Latitude Inc,Greater Orlando,Mid senior,Onsite,"Reporting, Analysis, Data Visualization, Tableau, SQL, Statistical Analysis, Financial Reporting, ECommerce, Microsoft Excel, Adobe Analytics, Project Management, Meticulous Attention to Detail, FastPaced Environment, Written and Oral Communication, Data accuracy, Data Quality control",0.31135699964579544
