query_id,query,category,system,rank,doc_id,score,job_title,company,job_location,job_level,job_type,job_skills,latency_ms
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca256,1,JOB_0274181,0.6097283363342285,"Data Analyst-SQL, Python, Visualization tool",Zortech Solutions,"Mountain View, CA",Associate,Onsite,"SQL, Python, Tableau, Qlik sense, Power BI, R, Scala, Shell scripting, Alteryx, Google suite, Master’s degree in mathematics statistics engineering, Data visualization, Data analytics, Datadriven business case, ROI, Research strategy, Datadriven insights",67.4521089999871
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca256,2,JOB_0430244,0.6014596819877625,Data Analyst,Insight Global,"North Carolina, United States",Mid senior,Onsite,"Data Analysis, Reporting, PowerBI, Dashboard Creation, Data Visualization, Scripting, Python, SQL, ServiceNow, Google Analytics, State/Local Government",67.4521089999871
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca256,3,JOB_0423481,0.5925853848457336,Jr. Data Analyst,SynergisticIT,"Oklahoma City, OK",Mid senior,Onsite,"Python, Software Development Life Cycle, Linear Algebra, Statistics, Mathematics, Data Visualization, NLP, Scala, Django, Deep Learning, Machine Learning, UI, Access Control, Data Science, Algorithms, Data Analysis, Teamwork, Problem Solving, Communication Skills, Technical Writing, Bachelor's or Master's in Computer Engineering Computer Science Mathematics Electrical Engineering Information Systems or IT, Mathematics or Statistics background",67.4521089999871
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca256,4,JOB_0113400,0.5916776657104492,BI/Data Analyst,TEK NINJAS,"Denver, CO",Mid senior,Onsite,"Data Analysis, SQL, Data Visualization, Tableau, AWS (S3/ EMR/Lambda), Hadoop, Spark, Data Science, Python, Bash scripting, Linux, Git, Project Management, Data Engineering, Business Requirements Gathering, ETL (Extract Transform Load)",67.4521089999871
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca256,5,JOB_0410378,0.5910894870758057,Junior Analytics Engineer,Robert Walters,"Sydney, New South Wales, Australia",Mid senior,Onsite,"Data Analytics, Data Engineering, Data Warehousing, SQL, AWS, DBT, RedShift, Tableau, AdHoc Reporting, Data Visualization, Data Modeling, Data Pipelines, Data Collection, Data Storage, Data Refinement",67.4521089999871
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca256,6,JOB_0250432,0.5891006588935852,Senior Data Analyst,Compunnel Inc.,"San Antonio, TX",Mid senior,Onsite,"Machine Learning, Python, SQL, SAS, Business Stakeholder Management, Data Analysis, Presentation Skills, Report Generation, Dashboard Creation, DataDriven Insights, Problem Identification, Data Supplementation, Database Design, Data Modelling, BI Tools (SAS Tableau Cognos Spotfire Alteryx Knime), Statistical Modeling, Productivity Tools (MS Word PowerPoint Excel), Bachelors Degree",67.4521089999871
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca256,7,JOB_0337395,0.57984858751297,Senior Data Analyst,Accroid Inc,"Reston, VA",Associate,Onsite,"SQL, Tableau, Python, AWS, Redshift, S3 Bucket, Communication Skills, Curiosity, Proactivity",67.4521089999871
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca256,8,JOB_0120731,0.5728136301040649,Data Analyst/Scientist,VeeAR Projects Inc.,"Cupertino, CA",Associate,Onsite,"Data analysis, Data science, Clickstream data analysis, Tableau, SQL, Clickstream data, Web analytics",67.4521089999871
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca256,9,JOB_0255969,0.5680419206619263,Data Analyst/Scientist,VeeAR Projects Inc.,"Austin, TX",Associate,Onsite,"Data Analytics, Data Science, Web Analytics, Clickstream Data Analysis, Tableau, SQL, Clickstream Data, 2+ years of experience",67.4521089999871
Q01,junior data analyst with SQL Tableau and Python,data,dense_pca256,10,JOB_0334377,0.5671809911727905,Data Analyst I,Mathys+Potestio / The Creative Party®,"Culver City, CA",Mid senior,Onsite,"Data Analysis, Data Cleaning, Data Visualization, Tableau, SQL, Python, Data Quality Management, Data Maintenance, Dashboarding, Reporting, Data Coordination, Data Handling, Data Manipulation, Programming, Data Querying, Bachelor's Degree, Work Experience, Attention to Detail, ProblemSolving",67.4521089999871
